YR--MODAHRMN,Mean (ºC),Max (ºC),Min (ºC)
2017-05-01,7.52,12.22,2.78
2017-05-02,9.70,15.56,1.67
2017-05-03,9.21,13.33,3.89
2017-05-04,6.78,10.56,3.33
2017-05-05,10.32,16.67,1.67
2017-05-06,11.09,15.00,6.11
2017-05-07,5.86,8.89,2.22
2017-05-08,4.21,7.22,1.11
2017-05-09,1.55,3.89,-1.67
2017-05-10,1.60,4.44,-1.67
2017-05-11,2.78,7.78,-2.22
2017-05-12,5.32,10.56,-1.67
2017-05-13,7.62,12.78,0.56
2017-05-14,10.00,13.89,3.33
2017-05-15,8.70,13.89,2.78
2017-05-16,7.13,11.67,0.56
2017-05-17,9.65,12.78,5.56
2017-05-18,10.97,13.89,8.89
2017-05-19,16.43,22.78,9.44
2017-05-20,16.85,21.67,12.78
2017-05-21,14.79,18.33,10.56
2017-05-22,14.72,18.89,9.44
2017-05-23,13.36,18.33,8.33
2017-05-24,12.34,16.67,8.89
2017-05-25,14.03,20.00,8.89
2017-05-26,13.77,17.78,7.78
2017-05-27,9.51,12.22,6.67
2017-05-28,13.03,17.78,8.33
2017-05-29,13.56,17.78,6.11
2017-05-30,9.70,12.78,4.44
2017-05-31,10.58,15.56,6.11
2017-06-01,6.55,10.00,3.89
2017-06-02,6.25,8.33,2.78
2017-06-03,10.16,15.56,3.89
2017-06-04,10.00,15.00,5.00
2017-06-05,10.28,12.22,8.89
2017-06-06,14.58,19.44,8.33
2017-06-07,16.48,20.56,9.44
2017-06-08,12.29,13.89,11.11
2017-06-09,14.03,18.33,11.11
2017-06-10,16.32,20.00,10.56
2017-06-11,16.76,21.67,12.78
2017-06-12,12.57,13.33,11.67
2017-06-13,12.62,17.78,8.89
2017-06-14,14.75,20.00,6.67
2017-06-15,15.35,19.44,8.89
2017-06-16,18.47,22.78,12.22
2017-06-17,19.47,23.89,13.89
2017-06-18,16.90,18.89,14.44
2017-06-19,17.80,22.22,13.33
2017-06-20,12.73,17.22,10.00
2017-06-21,11.92,17.22,9.44
2017-06-22,12.04,17.22,8.33
2017-06-23,10.95,13.89,6.67
2017-06-24,12.85,16.67,9.44
2017-06-25,14.07,16.67,11.67
2017-06-26,13.48,15.56,11.67
2017-06-27,13.77,16.67,11.11
2017-06-28,15.25,19.44,10.00
2017-06-29,16.50,20.00,8.33
2017-06-30,17.15,19.44,14.44
2017-07-01,13.98,15.00,13.33
2017-07-02,16.39,18.89,14.44
2017-07-03,14.32,17.78,12.22
2017-07-04,14.14,17.22,11.67
2017-07-05,13.89,17.78,9.44
2017-07-06,11.50,15.56,8.33
2017-07-07,14.81,19.44,7.78
2017-07-08,16.27,21.11,11.11
2017-07-09,17.18,21.67,12.78
2017-07-10,18.01,22.22,12.22
2017-07-11,16.88,18.89,15.00
2017-07-12,16.53,20.56,13.89
2017-07-13,14.51,18.89,11.11
2017-07-14,15.14,20.00,10.56
2017-07-15,16.81,22.22,8.33
2017-07-16,17.92,22.78,11.11
2017-07-17,15.19,18.33,11.67
2017-07-18,15.11,18.89,11.11
2017-07-19,13.64,16.11,10.00
2017-07-20,14.56,17.78,11.67
2017-07-21,16.00,21.11,9.44
2017-07-22,15.58,19.44,10.00
2017-07-23,16.88,21.67,10.56
2017-07-24,15.67,17.78,11.11
2017-07-25,16.23,18.89,12.78
2017-07-26,17.18,22.22,12.78
2017-07-27,19.05,22.22,14.44
2017-07-28,19.10,23.89,16.11
2017-07-29,17.89,21.11,15.56
2017-07-30,18.29,22.78,13.89
2017-07-31,17.99,22.22,15.56
2017-08-01,19.12,22.78,15.56
2017-08-02,17.76,20.56,15.56
2017-08-03,18.17,21.67,15.56
2017-08-04,16.50,20.00,14.44
2017-08-05,17.08,19.44,14.44
2017-08-06,16.13,19.44,13.89
2017-08-07,15.28,17.78,12.78
2017-08-08,17.73,21.67,12.78
2017-08-09,18.45,22.22,13.89
2017-08-10,18.50,22.22,15.56
2017-08-11,18.03,22.22,13.89
2017-08-12,19.68,25.00,15.56
2017-08-13,17.25,20.56,12.78
2017-08-14,16.11,20.56,10.00
2017-08-15,16.14,20.00,11.67
2017-08-16,17.57,20.56,13.33
2017-08-17,19.05,22.22,17.22
2017-08-18,18.01,20.00,16.11
2017-08-19,18.22,21.67,17.22
2017-08-20,17.13,19.44,15.56
2017-08-21,16.23,18.89,13.33
2017-08-22,14.79,17.78,11.67
2017-08-23,13.47,17.22,10.00
2017-08-24,12.80,17.22,9.44
2017-08-25,11.18,13.89,8.33
2017-08-26,10.83,15.56,6.67
2017-08-27,10.72,14.44,6.11
2017-08-28,12.00,16.11,8.89
2017-08-29,14.40,17.22,7.78
2017-08-30,16.74,18.89,15.00
2017-08-31,17.11,18.89,15.56
