YR--MODAHRMN,Mean (ºC),Max (ºC),Min (ºC)
2017-05-01,-0.90,0.00,-1.11
2017-05-02,3.40,6.11,0.00
2017-05-03,4.10,6.67,2.22
2017-05-04,3.31,5.00,2.22
2017-05-05,5.05,7.22,2.78
2017-05-06,1.94,3.33,0.56
2017-05-07,2.31,3.33,1.11
2017-05-08,3.01,3.89,2.78
2017-05-09,0.86,2.78,-1.11
2017-05-10,0.42,5.00,-1.11
2017-05-11,7.31,8.89,5.00
2017-05-12,5.67,7.78,4.44
2017-05-13,6.44,10.56,3.89
2017-05-14,10.65,12.22,8.89
2017-05-15,3.50,7.22,1.11
2017-05-16,-0.70,1.11,-1.11
2017-05-17,0.65,1.67,0.00
2017-05-18,-1.23,1.11,-2.78
2017-05-19,-1.64,0.00,-2.78
2017-05-20,-0.39,1.11,-2.22
2017-05-21,-3.12,0.00,-6.11
2017-05-22,-4.65,-1.11,-7.22
2017-05-23,0.09,1.11,-1.11
2017-05-24,-1.27,0.00,-2.78
2017-05-25,-1.83,1.11,-2.78
2017-05-26,1.20,2.78,-1.11
2017-05-27,-1.41,1.11,-2.78
2017-05-28,-1.67,0.00,-2.78
2017-05-29,0.18,1.67,0.00
2017-05-30,-2.36,0.00,-3.89
2017-05-31,-3.29,-1.67,-3.89
2017-06-01,-0.07,1.11,-2.22
2017-06-02,-1.41,1.11,-3.89
2017-06-03,-2.29,0.56,-3.89
2017-06-04,1.62,2.78,0.00
2017-06-05,-0.23,2.22,-2.22
2017-06-06,-1.76,0.00,-2.78
2017-06-07,1.23,2.78,-1.11
2017-06-08,-0.30,2.22,-3.33
2017-06-09,-1.07,2.22,-3.89
2017-06-10,2.34,2.78,2.22
2017-06-11,0.05,2.78,-2.22
2017-06-12,-1.39,1.11,-2.78
2017-06-13,3.10,4.44,1.11
2017-06-14,2.64,4.44,0.00
2017-06-15,1.30,5.00,-1.67
2017-06-16,5.90,7.78,3.89
2017-06-17,3.87,5.56,2.78
2017-06-18,2.59,3.33,2.22
2017-06-19,2.71,3.33,2.22
2017-06-20,2.38,3.33,1.11
2017-06-21,2.15,5.00,1.11
2017-06-22,9.10,11.11,6.11
2017-06-23,4.72,6.11,3.89
2017-06-24,4.77,7.22,3.33
2017-06-25,7.85,8.89,7.22
2017-06-26,6.37,7.78,3.89
2017-06-27,3.36,5.00,2.22
2017-06-28,5.83,6.67,5.00
2017-06-29,4.28,6.67,2.22
2017-06-30,3.41,5.00,2.22
2017-07-01,8.26,10.00,5.00
2017-07-02,8.03,10.00,5.56
2017-07-03,6.33,7.78,5.00
2017-07-04,10.09,11.67,7.78
2017-07-05,9.17,12.22,6.11
2017-07-06,5.32,7.78,3.89
2017-07-07,7.25,8.33,6.11
2017-07-08,5.07,7.78,1.67
2017-07-09,3.56,8.89,1.11
2017-07-10,10.67,12.22,8.89
2017-07-11,10.67,12.78,7.22
2017-07-12,6.13,9.44,3.89
2017-07-13,12.48,15.00,8.89
2017-07-14,8.10,12.78,3.89
2017-07-15,2.15,3.33,1.11
2017-07-16,5.30,6.11,2.78
2017-07-17,3.15,5.56,0.56
2017-07-18,0.75,1.11,-1.11
2017-07-19,2.67,3.89,1.11
2017-07-20,3.91,5.00,2.78
2017-07-21,1.25,2.78,0.00
2017-07-22,2.04,3.33,1.11
2017-07-23,1.62,2.22,0.00
2017-07-24,0.72,2.22,0.00
2017-07-25,4.44,6.11,2.22
2017-07-26,5.14,6.67,2.22
2017-07-27,1.07,2.78,-1.11
2017-07-28,5.97,8.33,2.78
2017-07-29,7.18,8.33,5.00
2017-07-30,2.82,5.56,0.56
2017-07-31,4.42,7.22,0.56
2017-08-01,4.81,7.22,2.22
2017-08-02,0.21,2.22,-1.11
2017-08-03,3.52,6.67,1.11
2017-08-04,3.01,6.11,0.00
2017-08-05,0.21,1.11,0.00
2017-08-06,3.56,6.11,1.67
2017-08-07,3.52,6.11,2.22
2017-08-08,2.07,2.22,1.11
2017-08-09,3.15,5.00,2.22
2017-08-10,5.07,6.11,3.89
2017-08-11,2.41,2.78,2.22
2017-08-12,3.24,5.56,2.22
2017-08-13,5.14,6.11,3.89
2017-08-14,2.48,3.89,1.67
2017-08-15,5.61,8.89,2.78
2017-08-16,10.76,12.22,8.89
2017-08-17,7.38,9.44,5.56
2017-08-18,9.28,10.00,7.78
2017-08-19,11.13,12.22,10.00
2017-08-20,8.84,11.67,7.22
2017-08-21,14.72,18.89,9.44
2017-08-22,20.44,21.11,19.44
2017-08-23,14.93,19.44,12.22
2017-08-24,18.66,21.11,13.89
2017-08-25,22.29,22.78,21.11
2017-08-26,15.42,20.00,12.78
2017-08-27,18.70,22.22,13.89
2017-08-28,22.32,23.33,18.89
2017-08-29,15.00,19.44,12.78
2017-08-30,17.62,20.00,13.89
2017-08-31,19.86,21.11,17.78
